Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-06-21 00:00:00+05:30,867.7205764354937,883.098525087092,859.2844041645932,864.2979125976562,44353,0.0,0.0
2017-06-22 00:00:00+05:30,868.7328292981804,879.2419122313499,858.320195061591,860.7305297851562,76386,0.0,0.0
2017-06-23 00:00:00+05:30,860.7305734537471,864.5389142794063,843.3279676359089,846.4132080078125,56228,0.0,0.0
2017-06-27 00:00:00+05:30,850.3660818604347,873.3124564271388,850.3660818604347,857.9345092773438,79960,0.0,0.0
2017-06-28 00:00:00+05:30,853.258583471056,863.4783802544287,840.0981309333291,855.2350463867188,100918,0.0,0.0
2017-06-29 00:00:00+05:30,860.9716034931427,861.9839323551365,838.073422549176,841.3515014648438,34944,0.0,0.0
2017-06-30 00:00:00+05:30,840.5800472963796,850.3660291062639,837.8322894482351,844.0509643554688,34826,0.0,0.0
2017-07-03 00:00:00+05:30,849.9804362497406,851.7159243742537,839.2303784010293,843.0869140625,96284,0.0,0.0
2017-07-04 00:00:00+05:30,846.8470066984125,858.0791904261241,837.2539212530845,842.8458862304688,30740,0.0,0.0
2017-07-05 00:00:00+05:30,841.1585981115795,846.5095292665466,833.9757890837844,836.2897338867188,42302,0.0,0.0
2017-07-06 00:00:00+05:30,838.7964944369621,846.8469889773282,825.3468147397085,829.5408325195312,57890,0.0,0.0
2017-07-07 00:00:00+05:30,827.2268851578775,833.9758224493753,824.5755169362176,828.5284423828125,24676,0.0,0.0
2017-07-10 00:00:00+05:30,840.7247128066194,848.4377835663132,827.2750339001915,832.095703125,15491,0.0,0.0
2017-07-11 00:00:00+05:30,838.7964695466958,877.2171808490019,838.7964695466958,851.474853515625,89507,0.0,0.0
2017-07-12 00:00:00+05:30,857.5971089079336,900.4528727749065,855.4278076206455,869.9862060546875,337585,0.0,0.0
2017-07-13 00:00:00+05:30,876.3976800042125,883.0502271862332,858.3201701031355,864.9727172851562,48730,0.0,0.0
2017-07-14 00:00:00+05:30,869.7451330993279,871.5288160511057,840.9657608660674,850.31787109375,41899,0.0,0.0
2017-07-17 00:00:00+05:30,839.8088465401618,870.1308703567082,839.8088465401618,855.6206665039062,80207,0.0,0.0
2017-07-18 00:00:00+05:30,858.0792163080214,865.7922879152845,833.0117335844163,838.6036987304688,32907,0.0,0.0
2017-07-19 00:00:00+05:30,847.9556869452382,860.0073595851649,841.7370120938245,848.5823974609375,65679,0.0,0.0
2017-07-20 00:00:00+05:30,850.8546271624381,860.4267653234905,850.8546271624381,856.8009643554688,112727,2.5,0.0
