Week,Symbol,down,no change,up
2021-08,TCS.NS,3,0,2
2021-09,HDFCBANK.NS,2,0,3
2021-09,TCS.NS,2,0,3
2021-10,HDFCBANK.NS,3,0,1
2021-10,TCS.NS,2,0,2
2021-11,HDFCBANK.NS,4,0,1
2021-11,TCS.NS,1,0,4
2021-12,HDFCBANK.NS,3,0,2
2021-12,TCS.NS,2,0,3
2021-13,HDFCBANK.NS,2,0,1
2021-13,TCS.NS,1,0,2
2021-14,HDFCBANK.NS,4,0,1
2021-14,TCS.NS,0,0,5
2021-15,HDFCBANK.NS,2,0,2
2021-15,TCS.NS,3,0,1
2021-16,HDFCBANK.NS,3,0,1
2021-16,TCS.NS,4,0,0
2021-17,HDFCBANK.NS,3,0,2
2021-17,TCS.NS,4,0,1
2021-18,HDFCBANK.NS,2,0,3
2021-18,TCS.NS,0,0,5
2021-19,HDFCBANK.NS,3,0,1
2021-19,TCS.NS,3,0,1
2021-20,HDFCBANK.NS,2,0,3
2021-20,TCS.NS,2,0,3
2021-21,HDFCBANK.NS,2,0,3
2021-21,TCS.NS,1,0,4
2021-22,HDFCBANK.NS,3,0,2
2021-22,TCS.NS,2,0,3
2021-23,HDFCBANK.NS,3,0,2
2021-23,TCS.NS,0,0,5
2021-24,HDFCBANK.NS,3,0,2
2021-24,TCS.NS,2,0,3
2021-25,HDFCBANK.NS,1,0,4
2021-25,TCS.NS,2,0,3
2021-26,HDFCBANK.NS,4,0,1
2021-26,TCS.NS,3,0,2
2021-27,HDFCBANK.NS,2,0,3
2021-27,TCS.NS,4,0,1
2021-28,HDFCBANK.NS,2,0,3
2021-28,TCS.NS,4,0,1
2021-29,HDFCBANK.NS,3,0,1
2021-29,TCS.NS,2,0,2
2021-30,HDFCBANK.NS,2,0,3
2021-30,TCS.NS,4,0,1
2021-31,HDFCBANK.NS,1,0,4
2021-31,TCS.NS,1,0,4
2021-32,HDFCBANK.NS,1,0,4
2021-32,TCS.NS,0,0,5
2021-33,HDFCBANK.NS,2,0,2
2021-33,TCS.NS,1,0,3
2021-34,HDFCBANK.NS,3,0,2
2021-34,TCS.NS,1,0,4
2021-35,HDFCBANK.NS,2,0,3
2021-35,TCS.NS,2,0,3
2021-36,HDFCBANK.NS,2,0,2
2021-36,TCS.NS,2,0,2
2021-37,HDFCBANK.NS,3,0,2
2021-37,TCS.NS,2,0,3
2021-38,HDFCBANK.NS,3,0,2
2021-38,TCS.NS,2,0,3
2021-39,HDFCBANK.NS,3,0,2
2021-39,TCS.NS,4,0,1
2021-40,HDFCBANK.NS,2,0,3
2021-40,TCS.NS,1,0,4
2021-41,HDFCBANK.NS,1,0,3
2021-41,TCS.NS,3,0,1
2021-42,HDFCBANK.NS,2,0,3
2021-42,TCS.NS,4,0,1
2021-43,HDFCBANK.NS,5,0,0
2021-43,TCS.NS,4,0,1
2021-44,HDFCBANK.NS,1,0,3
2021-44,TCS.NS,0,0,4
2021-45,HDFCBANK.NS,3,0,2
2021-45,TCS.NS,2,0,3
2021-46,HDFCBANK.NS,2,0,2
2021-46,TCS.NS,2,0,2
2021-47,HDFCBANK.NS,2,0,3
2021-47,TCS.NS,2,0,3
2021-48,HDFCBANK.NS,2,0,3
2021-48,TCS.NS,1,0,4
2021-49,HDFCBANK.NS,3,0,2
2021-49,TCS.NS,2,0,3
2021-50,HDFCBANK.NS,4,0,1
2021-50,TCS.NS,2,0,3
2021-51,HDFCBANK.NS,3,0,2
2021-51,TCS.NS,1,0,4
2021-52,HDFCBANK.NS,1,0,4
2021-52,TCS.NS,1,0,4
2022-01,HDFCBANK.NS,1,0,4
2022-01,TCS.NS,2,0,3
2022-02,HDFCBANK.NS,2,0,3
2022-02,TCS.NS,1,0,4
2022-03,HDFCBANK.NS,3,0,2
2022-03,TCS.NS,3,0,2
2022-04,HDFCBANK.NS,3,0,1
2022-04,TCS.NS,3,0,1
2022-05,HDFCBANK.NS,1,0,4
2022-05,TCS.NS,2,0,3
2022-06,HDFCBANK.NS,3,0,2
2022-06,TCS.NS,3,0,2
2022-07,HDFCBANK.NS,3,0,2
2022-07,TCS.NS,2,0,3
2022-08,HDFCBANK.NS,3,0,2
2022-08,TCS.NS,4,0,1
